Speed,AT,MAT,DF,MDF,HP,Unused Addition Unlock Level,Total Stat Points,Total Stat Points No Speed,Name
0,0,0,0,0,0,255,0,0,Dart Lv0
50,2,3,4,4,30,255,93,43,Dart Lv1
50,4,5,5,5,60,255,129,79,Dart Lv2
50,6,7,7,7,90,255,167,117,Dart Lv3
50,8,9,10,9,120,255,206,156,Dart Lv4
50,11,11,12,11,150,255,245,195,Dart Lv5
50,13,13,14,13,180,255,283,233,Dart Lv6
50,15,15,16,15,210,255,321,271,Dart Lv7
50,18,17,19,17,240,255,361,311,Dart Lv8
50,20,19,21,19,270,255,399,349,Dart Lv9
50,22,21,23,21,300,255,437,387,Dart Lv10
50,25,24,26,24,330,255,479,429,Dart Lv11
50,27,26,28,26,413,255,570,520,Dart Lv12
50,30,29,31,29,496,255,665,615,Dart Lv13
50,32,31,33,32,579,255,757,707,Dart Lv14
50,35,34,36,34,662,255,851,801,Dart Lv15
50,37,36,38,37,745,255,943,893,Dart Lv16
50,40,39,41,40,828,255,1038,988,Dart Lv17
50,42,41,43,42,911,255,1129,1079,Dart Lv18
50,45,44,46,45,994,255,1224,1174,Dart Lv19
50,47,46,48,48,1077,255,1316,1266,Dart Lv20
50,50,49,51,51,1160,255,1411,1361,Dart Lv21
50,52,51,53,53,1272,255,1531,1481,Dart Lv22
50,55,54,56,55,1384,255,1654,1604,Dart Lv23
50,57,56,58,57,1496,255,1774,1724,Dart Lv24
50,60,59,61,60,1608,255,1898,1848,Dart Lv25
50,62,61,63,62,1720,255,2018,1968,Dart Lv26
50,65,64,66,64,1832,255,2141,2091,Dart Lv27
50,67,66,68,67,1944,255,2262,2212,Dart Lv28
50,70,69,71,69,2056,255,2385,2335,Dart Lv29
50,72,71,73,71,2168,255,2505,2455,Dart Lv30
50,75,74,76,74,2280,255,2629,2579,Dart Lv31
50,77,76,78,76,2399,255,2756,2706,Dart Lv32
50,80,79,81,79,2518,255,2887,2837,Dart Lv33
50,82,81,83,82,2637,255,3015,2965,Dart Lv34
50,85,84,86,84,2756,255,3145,3095,Dart Lv35
50,87,86,88,87,2875,255,3273,3223,Dart Lv36
50,90,89,91,90,2994,255,3404,3354,Dart Lv37
50,92,91,93,92,3113,255,3531,3481,Dart Lv38
50,95,94,96,95,3232,255,3662,3612,Dart Lv39
50,97,96,98,98,3351,255,3790,3740,Dart Lv40
50,100,99,101,101,3470,255,3921,3871,Dart Lv41
50,102,101,103,103,3729,255,4188,4138,Dart Lv42
50,105,104,105,105,3988,255,4457,4407,Dart Lv43
50,107,106,108,107,4247,255,4725,4675,Dart Lv44
50,110,109,110,110,4506,255,4995,4945,Dart Lv45
50,112,111,113,112,4765,255,5263,5213,Dart Lv46
50,115,114,115,114,5024,255,5532,5482,Dart Lv47
50,117,116,118,117,5283,255,5801,5751,Dart Lv48
50,120,119,120,119,5542,255,6070,6020,Dart Lv49
50,122,121,123,121,5801,255,6338,6288,Dart Lv50
50,125,124,125,124,6060,255,6608,6558,Dart Lv51
50,127,126,128,126,6220,255,6777,6727,Dart Lv52
50,130,129,131,129,6380,255,6949,6899,Dart Lv53
50,133,132,133,132,6540,255,7120,7070,Dart Lv54
50,136,135,136,135,6700,255,7292,7242,Dart Lv55
50,138,138,139,138,6860,255,7463,7413,Dart Lv56
50,141,141,141,141,7020,255,7634,7584,Dart Lv57
50,144,144,144,144,7180,255,7806,7756,Dart Lv58
50,147,147,147,147,7340,255,7978,7928,Dart Lv59
50,150,150,150,150,7500,0,8150,8100,Dart Lv60
0,0,0,0,0,0,8,0,0,Lavitz Lv0
40,3,2,4,2,35,255,86,46,Lavitz Lv1
40,6,3,7,3,67,255,126,86,Lavitz Lv2
40,13,4,10,4,100,255,171,131,Lavitz Lv3
40,15,6,13,5,133,9,212,172,Lavitz Lv4
40,16,7,16,6,166,255,251,211,Lavitz Lv5
40,20,8,19,7,199,10,293,253,Lavitz Lv6
40,23,10,22,7,231,255,333,293,Lavitz Lv7
40,27,11,25,8,264,255,375,335,Lavitz Lv8
40,30,13,28,9,297,255,417,377,Lavitz Lv9
40,34,14,31,10,330,11,459,419,Lavitz Lv10
40,37,15,34,11,363,255,500,460,Lavitz Lv11
40,41,17,37,12,454,12,601,561,Lavitz Lv12
40,45,18,41,13,545,255,702,662,Lavitz Lv13
40,48,20,44,14,636,255,802,762,Lavitz Lv14
40,52,22,47,15,728,255,904,864,Lavitz Lv15
40,56,23,51,16,819,255,1005,965,Lavitz Lv16
40,60,25,54,17,910,255,1106,1066,Lavitz Lv17
40,63,27,57,18,1002,255,1207,1167,Lavitz Lv18
40,67,28,61,19,1093,255,1308,1268,Lavitz Lv19
40,71,30,64,20,1184,255,1409,1369,Lavitz Lv20
40,75,31,67,21,1276,255,1510,1470,Lavitz Lv21
40,78,33,71,24,1399,255,1645,1605,Lavitz Lv22
40,82,35,74,27,1522,255,1780,1740,Lavitz Lv23
40,86,37,77,29,1645,255,1914,1874,Lavitz Lv24
40,90,39,81,32,1768,255,2050,2010,Lavitz Lv25
40,93,41,84,35,1892,255,2185,2145,Lavitz Lv26
40,97,43,87,37,2015,255,2319,2279,Lavitz Lv27
40,101,45,91,40,2138,255,2455,2415,Lavitz Lv28
40,105,47,94,43,2261,255,2590,2550,Lavitz Lv29
40,108,48,97,45,2384,255,2722,2682,Lavitz Lv30
40,112,50,101,48,2508,255,2859,2819,Lavitz Lv31
40,116,52,104,49,2638,255,2999,2959,Lavitz Lv32
40,120,54,107,50,2769,255,3140,3100,Lavitz Lv33
40,123,55,111,51,2900,255,3280,3240,Lavitz Lv34
40,127,57,114,52,3031,255,3421,3381,Lavitz Lv35
40,131,59,117,53,3162,255,3562,3522,Lavitz Lv36
40,135,61,121,54,3293,255,3704,3664,Lavitz Lv37
40,138,62,124,55,3424,255,3843,3803,Lavitz Lv38
40,142,64,127,57,3555,255,3985,3945,Lavitz Lv39
40,146,66,131,58,3686,255,4127,4087,Lavitz Lv40
40,150,68,134,59,3817,255,4268,4228,Lavitz Lv41
40,153,70,137,61,4101,255,4562,4522,Lavitz Lv42
40,157,72,141,64,4386,255,4860,4820,Lavitz Lv43
40,161,74,144,67,4671,255,5157,5117,Lavitz Lv44
40,165,76,147,70,4956,255,5454,5414,Lavitz Lv45
40,168,78,151,73,5241,255,5751,5711,Lavitz Lv46
40,172,80,154,76,5526,255,6048,6008,Lavitz Lv47
40,176,82,157,79,5811,255,6345,6305,Lavitz Lv48
40,180,84,161,82,6096,255,6643,6603,Lavitz Lv49
40,183,86,164,85,6381,255,6939,6899,Lavitz Lv50
40,187,88,167,87,6666,255,7235,7195,Lavitz Lv51
40,191,90,171,88,6842,255,7422,7382,Lavitz Lv52
40,195,92,174,89,7018,255,7608,7568,Lavitz Lv53
40,200,94,178,90,7194,255,7796,7756,Lavitz Lv54
40,204,97,182,91,7370,255,7984,7944,Lavitz Lv55
40,208,99,185,93,7546,255,8171,8131,Lavitz Lv56
