id,name,unlockLevel
0,double_slash,1
1,volcano,3
2,burning_rush,2
3,crush_dance,15
4,madness_hero,22
5,moon_strike,29
6,blazing_dynamo,255
7,,254
8,harpoon,1
9,spinning_cane,5
10,rod_typhoon,7
11,gust_of_wind_dance,11
12,flower_storm,255
13,,254
14,whip_smack,1
15,more_more,14
16,hard_blade,19
17,demons_dance,255
18,,254
19,pursuit,1
20,inferno,23
21,bone_crush,255
22,,254
23,double_smack,1
24,hammer_spin,21
25,cool_boogie,26
26,cats_cradle,30
27,perky_step,255
28,,254
29,double_punch,1
30,ferry_of_styx,14
31,summon_4_gods,18
32,five_ring_shattering,22
33,hex_hammer,26
34,omni_sweep,255
35,,254
36,albert_harpoon,1
37,albert_spinning_cane,5
38,albert_rod_typhoon,7
39,albert_gust_of_wind_dance,11
40,albert_flower_storm,255
41,,254
42,,254
