EXP,Gold,Drop Rate,Item,UK1,UK2,Name
12,6,8,197,0,0,Mantis
40,18,8,208,0,0,Scissorhands
99,30,8,205,0,0,Spinninghead
168,51,8,211,0,0,Sandworm
14,9,10,195,0,0,Sea Dragon
88,33,8,198,0,0,Land Skater
110,33,8,221,0,0,Beastie Dragon
216,60,8,204,0,0,Manticore
4,6,10,193,0,0,Goblin
180,48,2,37,0,0,Minotaur
204,54,2,23,0,0,Hyper Skeleton
150,51,8,204,0,0,Basilisk
84,30,2,112,0,0,Flabby Troll
12,12,8,222,0,0,Evil Spider
40,18,8,217,0,0,Spider Urchin
18,9,2,153,0,0,Strong Man
48,21,8,222,0,0,Dragonfly
20,9,8,195,0,0,Hell Hound
66,30,8,221,0,0,Death
18,15,2,41,0,0,Lizard Man
144,51,8,203,0,0,White Ape
5,6,10,203,0,0,Assassin Cock
15,12,20,20,0,0,Merman
70,18,8,205,0,0,Glare
3,3,10,203,0,0,Berserk Mouse
180,60,2,112,0,0,Dragon Soldier
48,15,8,215,0,0,Earth Shaker
8,9,8,203,0,0,Vampire Kiwi
11,8,10,206,0,0,Myconido
44,24,8,244,0,0,Roc
108,42,8,203,0,0,Gnome
132,42,8,200,0,0,Bowling
110,27,8,214,0,0,Freeze Knight
13,12,10,119,0,0,Fire Spirit
400,51,8,248,0,0,Mad Skull
16,12,10,206,0,0,Run Fast
112,30,8,206,0,0,Canbria Dayfly
120,45,8,244,0,0,Wyvern
4,9,10,197,0,0,Trent
117,21,8,231,0,0,Spring Hitter
160,39,8,249,0,0,Guillotine
143,30,8,221,0,0,Terminator
0,600,100,211,0,0,OOPARTS
81,24,8,229,0,0,Fairy
90,36,2,131,0,0,Puck
11,9,8,222,0,0,Mole
8,6,8,203,0,0,Screaming Bat
130,42,2,148,0,0,Succubus
132,45,8,215,0,0,Mammoth
135,42,2,41,0,0,MetalFang
96,21,8,220,0,0,Windy Weasel
96,60,8,200,0,0,Wounded Bear
32,15,8,205,0,0,Erupting Chick
64,24,8,222,0,0,Flying Rat
3000,0,10,72,0,0,Rainbow Bird
20,12,8,193,0,0,Living Statue
165,24,8,206,0,0,Madman
120,36,2,117,0,0,Wildman
17,15,8,202,0,0,Gargoyle
10,6,8,199,0,0,Crescent Bee
120,24,10,231,0,0,Jelly
140,42,8,200,0,0,Spiky Beetle
180,33,10,205,0,0,Slug
104,36,8,222,0,0,Witch
10,9,2,103,0,0,Ugly Balloon
156,51,8,248,0,0,Maximum Volt
